TT,Điểm,Định vị,Vị trí (theo tuyến đường),Điểm tham quan gần nhất
1,V1,"15°52'39.2""N 108°19'26.3""E","Bên trái Quảng trường sông Hoài, trên dọc đường Công Nữ Ngọc Hoa",Chùa Cầu
2,V3,"15°52'42.0""N 108°19'24.3""E","Đầu đường Nguyễn Thị Minh Khai, gần chỗ con thuyền Nhật Bản, ngay chỗ bắt xe taxi - xe điện","Đình Cẩm Phô
Nhà trưng bày Văn hóa Nhật Bản 
Nhà thờ tộc Nguyễn Tường
Nhà cổ Phùng Hưng"
3,V4,"15°52'33.2""N 108°19'24.2""E",Đầu đường Nguyễn Phúc Chu,Chùa Cầu
4,V10,"15.878258371212828, 108.32535101742427",Công viên Phan Châu Trinh,"Nhà thờ tộc Nguyễn Tường
Nhà thờ tộc Trần"
5,V5,"15°52'37.5""N 108°19'34.2""E",Cạnh chùa Cầu,"Chùa Cầu
Hội quán Quảng Triệu
Bảo tàng Văn hóa Sa Huỳnh"
6,V6,"15°52'34.0""N 108°19'35.2""E","Đầu cầu An Hội, bên Nguyễn Phúc Chu","Chùa Cầu
Hội quán Quảng Triệu
Bảo tàng Văn hóa Sa Huỳnh
Nhà cổ Tấn Ký"
7,V9,"15°52'40.8""N 108°19'36.4""E","Trên đường Hai Bà Trưng, trước cổng chùa Bà Thiên Mụ","Nhà cổ Đức An
Hội quán Quảng Triệu"
8,V8,"15°52'40.7""N 108°19'43.2""E","Trên đường Lê Lợi, cạnh Đình Hội An","Đình Hội An
Nhà thờ tộc Trần"
9,V6.2,"15°52'33.9""N 108°19'47.9""E","Trên đường Hoàng Văn Thụ, ra bờ sông","Bảo tàng Văn hóa Dân gian
Nhà biểu diễn nghệ thuật cổ truyền Hội An
Bảo tàng nghề Y truyền thống"
10,V7,"15°52'42.8""N 108°19'52.0""E",Góc đường Phan Châu Trinh - Nguyễn Huệ,"Nhà thờ Tộc Trần
Chùa Quan Âm 
Miếu Quan Công"
12,V97,"15°53'10.1""N 108°19'10.6""E",Điểm bán vé tại bãi xe Hoiango,
