TT,Mã,Điểm,Địa chỉ,Maps,Giờ mở cửa,Traffic,Diện tích,Ưu tiên về quảng bá,Có thông tin giới thiệu không?,Khoảng cách tới Quảng trường sông Hoài (m),Khoảng cách tới điểm bán vé gần nhất (m),Thông tin giới thiệu cơ bản,Số bước chân từ điểm tham quan gần nhất,Biểu tượng liên quan,Ghi chú
1,A1,Chùa Cầu,Cuối đường Nguyễn Thị Minh Khai,https://maps.app.goo.gl/DaQmgqn3ZkcSWFLr5,7:00 - 22:00,Cao,Thấp (<50m2),Thấp ,FALSE,,,"Chùa Cầu nằm tiếp giáp đường Nguyễn Thị Minh Khai và đường Trần Phú- Hội An, còn được gọi là cầu Nhật Bản, là công trình do các thương gia Nhật Bản đến buôn bán tại Hội An xây dựng vào khoảng đầu thế kỷ XVII, cách nay hơn 400 năm. Trải qua biến cố thăng trầm của thời gian, công trình vẫn lưu giữ những giá trị to lớn về kiến trúc, văn hóa, lịch sử thể hiện sự kết nối giữa các cộng đồng cư dân Việt-Nhật-Hoa tại thương cảng Hội An xưa, là tài sản vô giá của các thế hệ người Hội An, là  biểu trưng văn hóa kiến trúc của thành phố Hội An.

Cây cầu có mái che với lối kiến trúc khá độc đáo, ở giữa là lối qua lại kiểu cầu vòng, hai bên có hành lang hẹp, xưa dùng làm nơi buôn bán, nghỉ mát. Mặt chính phần chùa hướng ra bờ sông Hoài thơ mộng. Gọi là chùa tuy nhiên cư dân lại thờ thần Bắc Đế Trấn Võ - vị thần gắn liền với chức năng trị thủy, đem lại cuộc sống an bình, mưa thuận gió hòa cho các cộng đồng cư dân. Chùa và cầu đều làm bằng gỗ, sơn son và chạm trổ nhiều họa tiết rất công phu, hài hòa. Hai đầu cầu có hai cặp tượng gỗ, một đầu là tượng chó, một đầu là tượng khỉ với nhiều kiến giải độc đáo của cư dân địa phương. Năm 1719, nhân một lần tuần du đến Hội An, chúa Nguyễn Phúc Chu đã ban tặng ba chữ “Lai Viễn Kiểu” với hàm ý cầu đón khách phương xa, ngày nay vẫn được đặt trang trọng ngay lối ra vào phần chùa.

Di tích Chùa Cầu được công nhận là Di tích lịch sử - văn hóa cấp quốc gia năm 1990. Hiện nay, Chùa Cầu là điểm tham quan không thể thiếu của bất cứ du khách nào khi đến với phố cổ Hội An. 
",,,
2,A2,Chùa Quan Âm,26 Trần Phú,https://maps.app.goo.gl/qMi96pqCHjds3JCbA ,7:30 - 19:30,Thấp ,Thấp (<50m2),Cao,TRUE,,,"Tọa lạc tại số 13 đường Nguyễn Huệ, phường Minh An, thành phố Hội An, Minh Hương Phật tự hay còn gọi là chùa Quan Âm là ngôi chùa thờ Phật có lịch sử lâu đời tại phố cổ Hội An. Theo sử sách, chùa được cư dân làng Minh Hương cho xây khoảng trước năm 1653, giai đoạn hình thành của phố cổ Hội An. Đầu thế kỷ XX do nhiều yếu tố, chùa được di dời về vị trí hiện tại, phía sau khuôn viên Chùa Ông. Ngày nay, chùa vẫn lưu giữ được những nét kiến trúc đặc sắc, nổi bật là hệ thống gỗ vì kèo, cột, rường, trính đồ sộ. Các tác phẩm điêu khắc gỗ của chùa Quan Âm do các nghệ nhân làng mộc Kim Bồng thực hiện rất tinh xảo, tiêu biểu cho nghệ thuật chạm khắc gỗ của Hội An. Không gian chánh điện được bài trí tuy đơn giản nhưng trang nghiêm, gian giữa thờ Phật, hai bên là gian thờ Quan Thế Âm Bồ Tát và một số chư vị Phật, Bồ Tát khác.  Vào năm 1991, chùa Quan Âm được công nhận là Di tích lịch sử - văn hóa cấp quốc gia.",,,
3,A3,Miếu Quan Công,24 Trần Phú,https://maps.app.goo.gl/PYKLBNbbAdaWaeVPA,7:30 - 19:30,Thấp ,Trung bình (50-200m2),Cao,TRUE,,,"Miếu Quan Công, ở số 24 đường Trần Phú còn được gọi Chùa Ông, tên chữ là Trừng Hán Cung được người làng Minh Hương và người Việt tại Hội An xây dựng vào khoảng giữa thế kỷ XVII, thờ Quan Công – danh tướng thời Tam Quốc, nhằm tán dương lòng nghĩa khí, tiết trung liệt của Ông. Đây được xem như một trong những công trình tín ngưỡng quan trọng và lâu đời bậc nhất tại Hội An.
Toàn thể ngôi chùa gồm 4 tòa nhà: một tiền đình, 2 tả, hữu vu và một chính diện rộng. Bốn tòa cất xây theo kiểu chữ “khẩu” và kiến trúc theo kiểu chồng tránh, ngói lợp và nóc rất độc đáo, trang trí rồng, giao long. Chính điện đặt pho tượng Quan Thánh Đế Quân, mặc thanh bào thêu rồng nổi kim tuyến, nét mặt oai nghiêm tươi sáng, đôi mắt sắc mà lung linh nhìn về phía trước. Chính điện còn có 2 pho tượng Châu Thương, người nô bộc trung thành và tượng Quan Bình nghĩa tử của Quan Công; 2 con ngựa thờ cao bằng ngựa thật, bên tả là Bạch Mã, , bên hữu là  Xích Thố – con ngựa được Tào Tháo ban cho. Đứng trước những pho tượng này khách thưởng lãm không thể không ngợi khen bàn tay tinh xảo tỉ mỉ của người thợ tạo hình từ xa xưa.
Với các giá trị nổi bật về văn hóa, lịch sử và kiến trúc, chùa Ông ngày nay ngoài là địa chỉ hành hương quen thuộc của cư dân Hội An và các vùng lân cận còn là địa điểm du lịch độc đáo dành cho du khách khi đến với Hội An.",,,
4,A4,Bảo tàng Gốm sứ mậu dịch,80 Trần Phú,https://maps.app.goo.gl/AQYR8QNnNeeA56138 ,7:00 - 21:00,Trung bình,Lớn (>200m),Trung bình,TRUE,,,"Nằm trong một ngôi nhà cổ hai tầng được xây dựng vào khoảng đầu thế kỷ XX nằm tại số 80 Trần Phú, thành phố Hội An, Bảo tàng Gốm sứ Mậu dịch là bảo tàng chuyên đề trưng bày các hiện vật gốm sứ được tìm thấy trong các di chỉ khảo cổ học gốm sứ tại Hội An, phản ánh con đường gốm sứ mậu dịch trên biển vào các thế kỷ trước, khi Hội An còn là tụ điểm giao lưu thương mại trên biển của các thương thuyền Đông-Tây-Á-Âu.  
Bảo tàng là nơi lưu giữ hơn 430 hiện vật bao gồm đồ sứ có niên đại từ thế kỷ VIII đến thế kỷ XVIII. Hầu hết các hiện vật là gốm sứ thương mại có xuất xứ từ Trung Đông, Ấn Độ, Trung Quốc, Nhật Bản, Thái Lan và Việt Nam..., cho thấy mối quan hệ giao thoa văn hóa và kinh tế quốc tế đã diễn ra mạnh mẽ ở thương cảng Hội An lúc bấy giờ. Ngoài ra, tại đây du khách có thể thấy được tổng thể không gian điển hình của kiến trúc nhà cổ ở Hội An, được chia làm 3 phần: nhà trước, nhà sau và sân trời ở giữa. Ngôi nhà được tổ chức JICA Nhật Bản hỗ trợ công tác trùng tu và hình thành bảo tàng chuyên đề gốm sứ vào năm 1995. Hệ thống hiện vật được trưng bày phong phú cùng với không gian cổ kính, độc đáo giúp bảo tàng trở thành điểm tham quan thu hút nhiều lượt khách trong nước và quốc tế. Bảo tàng hiện mở cửa tất cả các ngày trong tuần, riêng ngày 15 hàng tháng đóng cửa để thực hiện công tác chuyên môn nghiệp vụ.",,,
5,A5,Bảo tàng Hội An,10B Trần Hưng Đạo,https://maps.app.goo.gl/QY5aef3Ny9K8WJAq9 ,"7:30 - 11:30
13:30 - 17:30",Thấp ,Lớn (>200m),Trung bình,TRUE,,,"Hội An là một thành phố nhỏ trực thuộc tỉnh Quảng Nam, nằm bên bờ bắc sông Thu Bồn cách Thành phố Đà Nẵng 30km về phía Nam. Thành phố Hội An có diện tích khoảng 60 km2, dân số hơn 90.000 người, gồm 9 phường , 3 xã đất liền và 1 xã đảo.
Hội An có vị trí địa lý tương đối thuận lợi, giao thông nối liền cả đường bộ và đường thủy. Phía Đông Đô Thị cổ Hội An nối với biển Đông qua Cửa Đại. Phía Nam giáp huyện Duy Xuyên, phía Tây giáp huyện Điện Bàn. Vào các thế kỷ trước, Hội An còn thông thương với Đà Nẵng bằng con sông Cổ Cò. Thông qua sông Thu Bồn, Đô Thị cổ Hội An nối với kinh đô Trà Kiệu, với khu thờ tự Mỹ Sơn ở thượng lưu, và thông qua các đường sông, đường bộ, nối với núi rừng giàu lâm thổ sản miền Tây, cũng như với kinh đô Phú Xuân - Huế ở phía Bắc và các Dinh trấn phía Nam. Hội An ở giữa vùng đồng bằng giàu có của xứ Quảng và giữ một vị trí đầu mối giao thông thuận lợi với các thị trường trong nước và với hệ thống hàng hải quốc tế.
Đô Thị - Thương cảng Hội An với hạt nhân phố cổ là khu di tích lịch sử, là di sản văn hóa vô giá thuộc loại quý hiếm trên Thế giới đã được xếp hạng di tích Quốc gia năm 1985. Đặc biệt, vào ngày 04.12.1999, UNESCO đã công nhận Khu Phố cổ Hội An là Di sản Văn hóa Thế giới 
Bảo tàng Hội An là công trình quy mô, tọa lạc tại số 10B Trần Hưng Đạo, thành phố Hội An, nơi đây trưng bày hơn 800 hiện vật gốc và tư liệu có giá trị bằng gốm, sứ, đồng sắt, giấy, gỗ...phản ánh các giai đoạn phát triển của đô thị - thương cảng Hội An từ thời kỳ văn hoá Sa Huỳnh (từ thế kỷ thứ II trở về trước) qua thời kỳ văn hoá Champa (từ thế kỷ II đến thế kỷ XV) đến thời kỳ văn hoá Đại Việt, Đại Nam (từ thế kỷ XV đến thế kỷ XIX),  cũng như lịch sử đấu tranh cách mạng của nhân dân thành phố (từ khi thực dân Pháp nổ súng xâm lược năm 1858 đến đại thắng mùa xuân năm 1975). Bảo tàng Lịch sử - Văn hoá Hội An sẽ giúp du khách có được cái nhìn tổng quát về tiến trình lịch sử cũng như bề dày văn hoá của vùng đất Hội An. Bảo tàng hiện mở cửa tất cả các ngày trong tuần, riêng ngày 25 hàng tháng đóng cửa để thực hiện công tác chuyên môn nghiệp vụ.
",,,Chuẩn bị đóng cửa trùng tu
6,A6,Bảo tàng Văn hóa Sa Huỳnh,149 Trần Phú,https://maps.app.goo.gl/ZAxfAKc6h2WYPbft9,8:00 - 21:00,Thấp ,Trung bình (50-200m2),Trung bình,TRUE,,,"Bảo tàng Văn hoá Sa Huỳnh tọa lạc tại một ngôi nhà cổ theo lối kiến trúc Pháp, nằm ở số 149 đường Trần Phú, Hội An, là nơi trưng bày bộ sưu tập đầy đủ và độc đáo gồm 971 hiện vật liên quan đến cư dân cổ thuộc hệ văn hoá Sa Huỳnh (niên đại cách nay hơn 2000 năm) - được coi là chủ nhân của tiền cảng - thị sơ khai Hội An, từng có quan hệ, giao lưu với cả khu vực Đông Nam Á, Nam Ấn Độ và Trung Hoa. Điều lý thú là các hiện vật đều có địa chỉ khảo cổ học rất tin cậy, vì cùng với hiện vật là hệ thống tài liệu, ảnh chụp,.. minh chứng rõ ràng vị trí của chúng trong lòng đất. Qua tư liệu, hiện vật, Bảo tàng còn phản ánh nhiều thông tin khác về táng tục, quan niệm sống chết, nhận thức thẩm mỹ, mối quan hệ giao lưu... của cư dân cổ thuộc hệ văn hoá Sa Huỳnh trên đất Hội An. Đặc biệt, Bảo tàng còn trưng bày một số hiện vật phát hiện ở di chỉ Bãi Ông - Cù Lao Chàm, minh chứng từ thời tiền sử cách  đây khoảng hơn 3000 năm đã có cư dân bản địa sinh sống tại đây. Bộ sưu tập hiện vật về Văn hoá Sa Huỳnh ở Hội An được trưng bày tại Bảo tàng được các nhà khoa học đánh giá là phong phú và độc đáo vào bậc nhất của Việt Nam. Bảo tàng hiện mở cửa tất cả các ngày trong tuần, riêng ngày 10 hàng tháng đóng cửa để thực hiện công tác chuyên môn nghiệp vụ.",,,Nằm sát chùa Cầu nên số người đi qua cao nhưng traffic tham quan điểm thấp hơn các di tích xung quanh
7,A7,Bảo tàng Văn hóa dân gian,33 Nguyễn Thái Học,https://maps.app.goo.gl/JoDhPkDVUzkUQ3278 ,8:00 - 21:30,Trung bình,Lớn (>200m),Trung bình,TRUE,,,"Bảo tàng Văn hóa Dân gian tọa lạc tại một căn nhà cổ 2 tầng nằm ở số 33 đường Nguyễn Thái Học, Hội An, là nơi lưu giữ và cung cấp các thông tin có giá trị về nhiều nét đẹp văn hóa đặc sắc của cư dân địa phương.
Bảo tàng hiện lưu giữ hơn 346 hiện vật gồm các bộ sưu tập trang phục của người Hoa, người Việt, sưu tập các dụng cụ, công cụ và sản phẩm của các làng nghề truyền thống ở Hội An,…Những hiện vật này rất đa dạng về chất liệu và chủng loại, là cơ sở và nguồn tư liệu quý phục vụ công tác nghiên cứu và trưng bày, giúp công chúng có cái nhìn tổng quan về các giá trị văn hoá phi vật thể, giới  thiệu về bề dày truyền thống văn hoá, sự sáng tạo, những đóng góp của các thế hệ cư dân địa phương trong quá trình xây dựng phát triển vùng đất Hội An.
Bảo tàng Văn hóa Dân gian hiện nay không chỉ là điểm tham quan lý thú dành cho du khách ưa thích khám phá các giá trị văn hóa địa phương mà còn là nơi triển khai các hoạt động giáo dục di sản trong học đường cho học sinh trên địa bàn thành phố vì một mục tiêu chung gìn giữ và phát huy di sản văn hóa Hội An. Bảo tàng hiện mở cửa tất cả các ngày trong tuần, riêng ngày 20 hàng tháng đóng cửa để thực hiện công tác chuyên môn nghiệp vụ.",,,
8,A8,Bảo tàng nghề Y truyền thống,34 Nguyễn Thái Học,https://maps.app.goo.gl/PkFdjKHR5tQujShG7 ,8:00 - 21:30,Thấp ,Trung bình (50-200m2),Trung bình,TRUE,,,,,,
9,A9,Bảo tàng Thổ sản, 57 Trần Phú, 57 Trần Phú,8:00 - 21:30,Thấp ,Trung bình (50-200m2),Trung bình,TRUE,,,,,,"Chưa có trên bản đồ, mặt sau của Bảo tàng Nghề Y"
10,A10,Nhà trưng bày Văn hóa Nhật Bản,6 Nguyễn Thị Minh Khai,https://maps.app.goo.gl/vh7qWu6szTnknrga7,N/A,Thấp ,Lớn (>200m),Thấp ,TRUE,,,,,,
